"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std"
"0002008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,32,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,34.95,29.6,"$30,001 TO $35,000",32500.5,0,0,40.064,-1.07495180826916
"0002010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,41,"SOME COLLEGE","SOME COLLEGE",0,0,63.43,33.42,"$35,001 TO $40,000",37500.5,0,0,46.097,-0.453894594809428
"0002011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,26,28,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,29.6,"$40,001 TO $50,000",45000.5,0,1,53.336,0.291312295333949
"0002012C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,2,36,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,59,NA,"$20,001 TO $25,000",22500.5,0,0,48.202,-0.237198849022467
"0002018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,34.95,34.95,"$50,001 TO $75,000",62500.5,0,0,57.767,0.747454266631822
"0002019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,NA,NA,"$5,000 TO $5,000",5000,1,1,60.294,1.00759210492334
"0002022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,57.237,0.692894292633205
"0002024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,45.384,-0.527293201339643
"0005004C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,27,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,29.6,"$10,001 TO $15,000",12500.5,1,1,47.284,-0.331700841721959
"0005006C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.494,-0.413026085984048
"0005009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,30,"9TH - 12TH GRADE","SOME COLLEGE",1,0,34.95,35.92,"$15,001 TO $20,000",17500.5,1,1,50.257,-0.0256502705938668
"0005011C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.933,-0.779607345246455
"0005013C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,36,48,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,33.42,"$15,001 TO $20,000",17500.5,1,1,44.564,-0.611706746016749
"0005016C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,46,50,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,29.6,"$10,001 TO $15,000",12500.5,1,1,40.922,-0.986626416399699
"0005020C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,1,34,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,38.18,NA,"$20,001 TO $25,000",22500.5,1,1,29.047,-2.20907866401022
"0005021C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,35,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$10,001 TO $15,000",12500.5,1,1,20.41,-3.09820035349335
"0005025C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.928,-0.368348673313483
"0006001C",0,"ASIAN",0,0,0,1,1,42,54,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,34.95,"$20,001 TO $25,000",22500.5,1,0,56.236,0.589848002118835
"0006002C",0,"ASIAN",0,0,0,1,1,42,45,"8TH GRADE OR BELOW","SOME COLLEGE",1,0,29.6,34.95,"$10,001 TO $15,000",12500.5,1,0,41.063,-0.972111404449123
"0006003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,54.404,0.401255790108521
"0006005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,38,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,34.95,53.5,"$50,001 TO $75,000",62500.5,0,0,70.107,2.0177751706751
"0006007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,53.5,39.2,"$40,001 TO $50,000",45000.5,0,0,57.567,0.726865597198381
"0006010C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,35.92,"$15,001 TO $20,000",17500.5,0,0,48.924,-0.162873752367747
"0006011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,29.6,35.78,"$25,001 TO $30,000",27500.5,0,0,47.199,-0.340451026231171
"0006012C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,30,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,38.18,NA,"$30,001 TO $35,000",32500.5,0,1,48.964,-0.158756018481059
"0006014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,NA,"$5,001 TO $10,000",7500.5,1,1,32.045,-1.90045450920295
"0006015C",0,"WHITE, NON-HISPANIC",1,0,0,0,4,30,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,0,55.45,0.508934531245415
"0006017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,53.5,"$35,001 TO $40,000",37500.5,0,0,65.741,1.56832451694309
"0006022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,26,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,35.78,NA,"$10,001 TO $15,000",12500.5,1,1,53.687,0.327445410189637
"0007002C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,39,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,53.5,NA,"$50,001 TO $75,000",62500.5,0,0,52.035,0.157383000669418
"0007004C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,41,45,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","SOME COLLEGE",0,0,57.83,35.78,"$100,001 TO $200,000",150000.5,0,0,64.935,1.48535217912633
"0007006C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,53.5,63.43,"$75,001 TO $100,000",87500.5,0,0,45.63,-0.501969137936511
"0007008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,48.521,-0.20435992127613
"0007009C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,37,46,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,35.78,"$100,001 TO $200,000",150000.5,0,0,41.637,-0.913021923175149
"0007010C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.609,-0.195300906725416
"0007013C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,45,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,NA,77.5,"$75,001 TO $100,000",87500.5,0,0,67.783,1.77853483185852
"0007015C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,27,30,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,NA,35.92,"$50,001 TO $75,000",62500.5,0,0,53.501,0.308297947616537
"0007016C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.363,0.294091765707463
"0007017C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,47,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,77.5,"$100,001 TO $200,000",150000.5,0,0,61.241,1.10507945469068
"0007018C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,39,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,61.56,62.87,"$100,001 TO $200,000",150000.5,0,0,57.185,0.68754123858051
"0007020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,35,52,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,61.56,72.1,"$50,001 TO $75,000",62500.5,0,0,64.364,1.42657152789385
"0007022C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,38,48,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,52.54,53.5,"$50,001 TO $75,000",62500.5,0,0,59.207,0.895692686552593
"0007023C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,60.025,0.979900344535364
"0009001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,38.18,NA,"$5,001 TO $10,000",7500.5,1,1,41.985,-0.877197638360963
"0009002C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,36,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,NA,43.598,-0.711150019380266
"0009003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,49,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,63.43,35.92,"$75,001 TO $100,000",87500.5,0,0,44.731,-0.594515207039826
"0009005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,33.42,39.2,"$15,001 TO $20,000",17500.5,1,1,49.884,-0.064048139087233
"0009007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,NA,35.92,"$15,001 TO $20,000",17500.5,0,0,34.44,-1.6539051927375
"0009008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,39.2,"$50,001 TO $75,000",62500.5,0,0,42.962,-0.776621988178606
"0009009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,30,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,38.18,"$30,001 TO $35,000",32500.5,0,0,52.571,0.212560634751039
"0009010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,34.95,"$75,001 TO $100,000",87500.5,0,0,55.383,0.502037326985212
"0009012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,NA,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,35.78,53.5,"$40,001 TO $50,000",45000.5,0,0,44.193,-0.649898727815781
"0009013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,53.5,33.42,"$100,001 TO $200,000",150000.5,0,0,60.096,0.987209322184235
"0009014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,39.18,"$75,001 TO $100,000",87500.5,0,0,48.597,-0.196536226891422
"0009017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,29.6,NA,"$15,001 TO $20,000",17500.5,0,1,52.825,0.238708244931509
"0009018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,41,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.18,"$40,001 TO $50,000",45000.5,0,0,35.802,-1.51369635389577
"0009019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,48,"HIGH SCHOOL DIPLOMA/EQUIVALENT","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",1,0,35.78,NA,"$30,001 TO $35,000",32500.5,0,0,27.545,-2.36369957145536
"0009020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,29,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,34.95,29.6,"$30,001 TO $35,000",32500.5,0,0,33.829,-1.71680357785666
"0009022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,36,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,63.43,63.43,"$50,001 TO $75,000",62500.5,0,0,66.911,1.68876823312872
"0009024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,39.2,"$50,001 TO $75,000",62500.5,0,0,56.95,0.663349551996218
"0009026C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,49,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,63.43,35.92,"$75,001 TO $100,000",87500.5,0,0,43.744,-0.696120290693854
"0010001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,NA,33.42,"$40,001 TO $50,000",45000.5,0,0,39.482,-1.13486483632047
"0010002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,61.56,NA,"$15,001 TO $20,000",17500.5,0,0,56.505,0.617539762506813
"0010003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,35.92,"$10,001 TO $15,000",12500.5,1,1,54.888,0.451080370137446
"0010004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,48,"9TH - 12TH GRADE","NOT APPLICABLE",1,NA,NA,34.95,"$5,000 TO $5,000",5000,1,1,53.847,0.343916345736389
"0010006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,34.95,38.18,"$25,001 TO $30,000",27500.5,0,0,45.098,-0.556734998629463
"0010007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,35.78,"$30,001 TO $35,000",32500.5,0,0,45.357,-0.530072671713157
"0010008C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,29,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,29.6,"$20,001 TO $25,000",22500.5,0,0,27.493,-2.36905262550806
"0010009C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,39,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$5,001 TO $10,000",7500.5,1,1,52.302,0.184868874363062
"0010010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,40.73,-1.0063915390558
"0010011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.18,"$5,000 TO $5,000",5000,1,0,47.341,-0.325833070933428
"0010012C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.467,-0.209918862023159
"0010015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,33.42,34.95,"$75,001 TO $100,000",87500.5,0,0,48.33,-0.224022100585065
"0010016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,41.401,-0.937316553106609
"0010018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,48,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,61.56,59,"$100,001 TO $200,000",150000.5,0,0,63.365,1.32373112407382
"0010019C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.269,0.593245132575353
"0010020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,38.18,35.92,"$20,001 TO $25,000",22500.5,0,0,37.569,-1.33179545945133
"0010022C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,1,44,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,NA,NA,"$15,001 TO $20,000",17500.5,1,0,47.232,-0.337053895774653
"0010024C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.323,-0.842402787018449
"0011002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,38,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,34.95,33.42,"$50,001 TO $75,000",62500.5,0,0,54.204,0.38066712067508
"0011003C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,35,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,34.95,35.78,"$75,001 TO $100,000",87500.5,0,0,61.28,1.1090942452302
"0011004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,49,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,59,35.63,"$100,001 TO $200,000",150000.5,0,0,60.838,1.0635932857823
"0011006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,39.2,"$20,001 TO $25,000",22500.5,0,0,50.8,0.0302479669179239
"0011007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,34.95,33.42,"$75,001 TO $100,000",87500.5,0,0,55.124,0.475375000068907
"0011008C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,29,40,"9TH - 12TH GRADE","VOC/TECH PROGRAM",1,1,38.18,53.5,"$30,001 TO $35,000",32500.5,0,0,48.19,-0.238434169188474
"0011009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$50,001 TO $75,000",62500.5,0,0,44.839,-0.583397325545768
"0011010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,39.2,"$40,001 TO $50,000",45000.5,0,0,44.921,-0.574955971078057
"0011011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,39,"9TH - 12TH GRADE","SOME COLLEGE",1,0,53.5,39.18,"$50,001 TO $75,000",62500.5,0,0,50.489,-0.001767414051076
"0011012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,35.92,"$25,001 TO $30,000",27500.5,0,0,48.394,-0.217433726366364
"0011013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,38.18,"$40,001 TO $50,000",45000.5,0,0,68.39,1.84102144358901
"0011014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,57.83,39.2,"$40,001 TO $50,000",45000.5,0,0,49.496,-0.103990157788107
"0011017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,34.95,39.18,"$40,001 TO $50,000",45000.5,0,0,59.002,0.874589300383317
"0011018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,NA,"$15,001 TO $20,000",17500.5,1,0,46.051,-0.458629988779119
"0011019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,37,"SOME COLLEGE","SOME COLLEGE",0,0,35.78,53.5,"$50,001 TO $75,000",62500.5,0,0,49.446,-0.109137325146468
"0011020C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,35,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,34.95,NA,"$75,001 TO $100,000",87500.5,0,0,58.752,0.848853463591516
"0011021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,42.981,-0.774666064582429
"0011022C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.001,-0.97849389197349
"0011023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,63.43,"$50,001 TO $75,000",62500.5,0,0,49.277,-0.126534750817725
"0011024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,35,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,35.78,"$100,001 TO $200,000",150000.5,0,0,64.616,1.45251325137999
"0013007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,46,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,63.43,63.43,"$100,001 TO $200,000",150000.5,0,0,52.723,0.228208023520454
"0013009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,51,47,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,62.87,"$50,001 TO $75,000",62500.5,0,0,51.895,0.142970932066011
"0014001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,"SOME COLLEGE","SOME COLLEGE",0,0,35.92,34.95,"$40,001 TO $50,000",45000.5,0,0,58.477,0.820544043120535
"0014002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,35,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,39.18,"$40,001 TO $50,000",45000.5,0,0,42.011,-0.874521111334615
"0014003C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,36,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,37.67,"$30,001 TO $35,000",32500.5,0,NA,52.957,0.252296766757579
